NODE,X-COORD,Y-COORD,FLOODWAVE_ARRIVAL_TIME,FLOODTIME,TIME_TO_PEAK,DEFLOOD_TIME,MAX_WSEL
377,657040.359,962565.000,0.00,0.00,0.00,0.00,0.00
378,657040.359,962535.000,0.00,0.00,0.00,0.00,0.00
379,657040.359,962505.000,0.00,0.00,0.00,0.00,0.00
380,657040.359,962475.000,0.00,0.00,0.00,0.00,0.00
381,657040.359,962445.000,0.00,0.00,0.00,0.00,0.00
382,657040.359,962415.000,0.00,0.00,0.00,0.00,0.00
383,657040.359,962385.000,0.00,0.00,0.00,0.00,0.00
384,657040.359,962355.000,0.00,0.00,0.00,0.00,0.00
385,657040.359,962325.000,0.00,0.00,0.00,0.00,0.00
386,657040.359,962295.000,0.00,0.00,0.00,0.00,0.00
387,657040.359,962265.000,0.00,0.00,0.00,0.00,0.00
388,657040.359,962235.000,0.00,0.00,0.00,0.00,0.00
389,657040.359,962205.000,0.00,0.00,0.00,0.00,0.00
390,657040.359,962175.000,0.00,0.00,0.00,0.00,0.00
391,657040.359,962145.000,0.00,0.00,0.00,0.00,0.00
392,657040.359,962115.000,0.00,0.00,0.00,0.00,0.00
393,657040.359,962085.000,0.00,0.00,0.00,0.00,0.00
394,657040.359,962055.000,0.00,0.00,0.00,0.00,0.00
395,657040.359,962025.000,0.00,0.00,0.00,0.00,0.00
396,657040.359,961995.000,0.00,0.00,0.00,0.00,0.00
397,657040.359,961965.000,0.00,0.00,0.00,0.00,0.00
398,657040.359,961935.000,0.00,0.00,0.00,0.00,0.00
399,657040.359,961905.000,0.00,0.00,0.00,0.00,0.00
400,657040.359,961875.000,0.00,0.00,0.00,0.00,0.00
401,657040.359,961845.000,0.00,0.00,0.00,0.00,0.00
402,657040.359,961815.000,0.00,0.00,0.00,0.00,0.00
403,657040.359,961785.000,0.00,0.00,0.00,0.00,0.00
404,657040.359,961755.000,0.00,0.00,0.00,0.00,0.00
405,657040.359,961725.000,0.00,0.00,0.00,0.00,0.00
406,657040.359,961695.000,0.00,0.00,0.00,0.00,0.00
407,657040.359,961665.000,0.00,0.00,0.00,0.00,0.00
408,657040.359,961635.000,0.00,0.00,0.00,0.00,0.00
409,657040.359,961605.000,0.00,0.00,0.00,0.00,0.00
410,657040.359,961575.000,0.00,0.00,0.00,0.00,0.00
411,657040.359,961545.000,0.00,0.00,0.00,0.00,0.00
412,657040.359,961515.000,0.00,0.00,0.00,0.00,0.00
413,657040.359,961485.000,0.00,0.00,0.00,0.00,0.00
414,657040.359,961455.000,0.00,0.00,0.00,0.00,0.00
415,657040.359,961425.000,0.00,0.00,0.00,0.00,0.00
416,657040.359,961395.000,0.00,0.00,0.00,0.00,0.00
417,657040.359,961365.000,0.00,0.00,0.00,0.00,0.00
418,657040.359,961335.000,0.00,0.00,0.00,0.00,0.00
419,657040.359,961305.000,0.00,0.00,0.00,0.00,0.00
420,657040.359,961275.000,0.00,0.00,0.00,0.00,0.00
421,657040.359,961245.000,0.00,0.00,0.00,0.00,0.00
